问题/需求描述,附件,链接,相关人员,tag,描述性tag,分析和todo,社区todo,名字,声量,更新记录日期,备注,父记录
" 搜索功能需求：
1.添加日期筛选
2.支持预览文件，采用分屏（Split View）界面设计，左侧：搜索结果，右侧文档预览","image.png,image.png",https://community.zimaspace.com/t/search-ux-suggestion-for-improvement/7821/3,@Leo Chen,R 需求,搜索,,,,0,2026/01/10,,
Zima 系列设备（Zimaboard、ZimaBlade）存在统一 UUID 和默认序列号的问题,image.png,https://discord.com/channels/884667213326463016/918710540438749235/1458075977535062016,@Cain,已定位/知晓,,,,,0,2026/01/11,,
"google 云盘断连，并且无法取消 X2 
先用命令垫一层，等后续优化",image.png,https://community.zimaspace.com/t/google-drive-is-not-mounted-after-some-time/7886,@Rally,已定位/知晓,第三方云盘,,,,0,2026/01/13,,
"用户从群晖迁移文件和数据，希望保留原有的文件时间戳（元数据）X2

smb是保留的，上传拖拽是新日期",image.png,http://邮件+私信,,"S 信号, R 需求",Files,,,,0,2026/01/13,,
"1.5.3 不能扩容RAID5

想将 RAID6 从 5 块 4TB 的硬盘扩展到 6 块。","image.png,image.png,image.png",https://community.zimaspace.com/t/can-t-expand-raid-zimaos-v1-5-3/7874/4,@Rally,"已解决, 已定位/知晓",RAID,,,,0,2026/01/14,,
1.5.3 RAID1 无法挂载,image.png,http://邮件,@Rally,已定位/知晓,RAID,,,,0,2026/01/14,,
zimaos 安全漏洞,image.png,https://www.sentinelone.com/vulnerability-database/cve-2026-21891/,@Link,已回复,安全漏洞,"1. 回复社区
2.邮件联系对方，请求更新状态",,,0,2026/01/16,,
请求升级Docker Engine到29 版本,image.png,https://endoflife.date/docker-engine,@Jerry,已定位/知晓,,同内核6.18一起升级，需要时间测试,,,0,2026/01/16,,
右键和三个点中添加文件夹加密 锁定/解锁 状态,image.png,http://私信,@Leo Chen,R 需求,Files,,,,0,2026/01/16,,
在加密子文件夹选择上锁，会提示找不到加密文件夹，并且导航名称为子文件夹名称,"image.png,image.png",http://私信,@Rally,已定位/知晓,Files,,,,0,2026/01/16,,
通过ZimaOS 控制第七盘灯光,image.png,http://私信,"@Cain
@Link Liang",R 需求,,,,,0,2026/01/20,,
通过ZimaOS 控制风扇转速,image.png,http://私信,"@Cain
@Link Liang","R 需求, S 信号",,,,,0,2026/01/21,,
"每次重启会引导重新建立新用户

原因：第八分区未挂载",Aufzeichnung_2026-01-23_113313 (1).mp4,http://邮件,@Rally,已解决,,,,,0,2026/01/22,,
"1.5.3创建的RAID1未挂载

1.5.4beta已修复",image.png,http://私信,@Rally,已解决,,,,,0,2026/01/22,,
"RAID1 恢复

已给脚本解决 ",image.png,http://私信,@Rally,已解决,,,,,0,2026/01/23,,
安卓端每15分钟提醒一次远程连接成功,img_v3_02ua_888541ba-ecd7-4f9b-987b-ec4988ff319g.jpg,https://community.zimaspace.com/t/language-inconsistentencies-in-the-zimaos-companion-app-for-android/7933/5,@田依可,已定位/知晓,,,,,0,2026/01/23,,
多用户权限隔离,image.png,https://community.zimaspace.com/t/have-an-true-nice-acces-management/7973,@Leo Chen,R 需求,,,,,0,2026/01/27,,
2FA 双重验证,image.png,https://discord.com/channels/884667213326463016/892293706730848266/1465494093504446641,@Leo Chen,R 需求,,,,,0,2026/01/27,,
扩展ZVM存储空间,image.png,http://私信,@Leo Chen,R 需求,,,,,0,2026/01/27,,
immich应用更新到v2.5.2 版本,image.png,https://community.zimaspace.com/t/immich-v2-0-1-when-will-it-be-updated-in-the-app-store/6275/4,@Link Liang,R 需求,,,,,0,2026/01/28,,
"用户想把1TB视频备份到其他NAS设备上（SMB），现象：备份卡死，系统盘爆满

原因：ZimaOS 无法在 NAS 共享的“根目录”创建新文件夹，所以全部传到了本地磁盘中",image.png,http://邮件,@Rally,已解决,,,,,0,2026/01/28,,
JBOD进展,image.png,https://discord.com/channels/884667213326463016/1251135424303337524/1467101826376794206,@Leo Chen,S 信号,,,,,0,2026/01/30,,
"挂载RAID失败+RAID恢复

1.升级解决
2.脚本解决",,,,"已定位/知晓, 已解决",,,,,0,2026/01/30,,
对喜欢的应用加tag 或者标签,image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1466920705139413209,@Leo Chen,"S 信号, R 需求",,,,,0,2026/02/23,,
"用户报告说：ZimaOS Files 通过 UPnP 自动创建端口映射，担心设备被暴露到公网

已定位：Share Via Link的一个默认配置引起的，虽然隐藏了入口，但是实际功能是没有关掉的，在160会做改进",image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1476087252391038987,@Link,已定位/知晓,,,,,0,2026/02/25,,
对于北欧一些电费比较贵的国家，希望ZimaOS推出节能模式，关闭一些不必要的服务,image.png,,@Leo Chen,"S 信号, R 需求",,,,,0,2026/02/25,,
用户希望能在不影响系统稳定性的前提下，安全禁用或移除像 ZVM 这类不需要的预装 Docker 应用，让系统更精简。,image.png,https://community.zimaspace.com/t/disable-remove-unused-docker-apps-like-zvm/8153,@Leo Chen,"S 信号, R 需求",,,,,0,2026/02/25,,
"现象：Files无法使用
原因：由于系统盘满导致files服务无法使用，需要使用ssh清空某些文件",image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1475893773245354045,@Rally,已定位/知晓,,,,,0,2026/02/26,,
"磁盘休眠不工作。

用户给到了解决方案，希望官方尽快修复",img_v3_02v9_c4512d85-9954-4c1b-bfcf-2fa19bc17c1g.jpg,https://community.zimaspace.com/t/raid-disk-spindown-standby-not-working-as-described-reasons-and-workaround/8094/7,@Link,待修复,,,,,0,2026/02/26,,
自定义重命名外部 USB 或云服务,image.png,https://community.zimaspace.com/t/how-to-rename-external-usb-or-cloud-service-labels-in-zimaos/8189,@Leo Chen@田依可,"R 需求, S 信号",,,,,0,2026/03/10,,
"ZimaOS 是否支持被第三方 dashboard 集成？快捷入口

用户故事：用户希望在像 Homer 这样的 Homelab 面板里加几个按钮，可以直接打开 ZimaOS 的设置、应用商店和备份页面。",image.png,https://community.zimaspace.com/t/third-party-dashboard-zimaos-integration/8192,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/11,,
" Ultra 225芯片安装ZimaOS",image.png,https://discord.com/channels/884667213326463016/1251135424303337524/1481732493903270043,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/13,,
"客户端 多设备切换管理

手机端已支持等发版",image.png,https://community.zimaspace.com/t/zima-client-connecting-to-multiple-zimaboards/8187,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/13,todo,
"用户故事：用户有两台ZimaOS设备，很容易搞错设备，现在他的解决方法是：给不同设备 设置不同壁纸。但他觉得这不够直观。

希望Dashboard 上明显显示设备名称",image.png,https://community.zimaspace.com/t/zima-client-connecting-to-multiple-zimaboards/8187,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/13,,
"系统盘克隆

用户故事：用户现在系统盘不够用了，想把系统一模一样搬到一块更大的硬盘上，这样既能扩容，又不用重新安装系统和软件。",image.png,https://community.zimaspace.com/t/replacing-os-hard-drive-ssd-to-bigger-drive-zimaos-plus-activation/8224,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/13,todo,
"在文件被SMB分享之后，不允许迁移时取消勾选保留原始文件

用户说：迁移不允许他删除原文件。",Screen Recording 2026-03-17 at 11.53.54 AM.mov,http://私信,@Leo Chen@田依可,优化,,,,,0,2026/03/13,,
"用户重装ZimaOS系统后，找我们用脚本帮忙恢复RAID5，恢复后用户想将系统盘Appdata等迁移到RAID5，提示目标路径不为空，用户不知道啥意思。
实际原因：目的地有重名文件夹，用户需要重命名文件夹 or 修改数据库","img_v3_02vm_dc74920c-44c9-49c0-a092-dc3a36aac4eg.jpg,img_v3_02vm_e3fa7ea3-2ab4-4020-9806-8fcb8501452g.jpg",http://私信,@Leo Chen@田依可,优化,,,,,0,2026/03/13,,
Storage 删除定义不清晰，单个不允许删，多选可以删,Screen Recording 2026-03-19 at 7.22.57 PM.mov,https://community.zimaspace.com/t/deleting-single-storage-in-files-browser-not-possible/8244,@田依可@Leo Chen,优化,,,,,0,2026/03/17,,
8个磁盘组RAID 6 ，其中有一块坏盘，出现无法挂载的情况,"HmyebX3mUoQCkUxAaoyci5rGnLb.png,Hc1ibIHvFojfyjxeGj7cUzcInSe.png",http://邮件,@Rally,已定位/知晓,,,,,0,2026/03/17,,
"1.5.4SMB失效 本周3个，160beta修复

原因是1.5.4强制用 smb3 挂载，但是服务端可能是smb1/2，导致挂载不上",image.png,,@Rally,已解决,,,,,0,2026/03/17,,
"ZimaCube 2 背板风扇异常 X3
会在冷启动、热启动，或者运行数小时后，突然出现明显变大的风扇噪音。
",image.png,http://内测群,@Cain,待/判断/中,,在让他们录视频，补充更多背景信息,,,0,2026/03/18,,
手机App支持关机，用户不想每次打开网页关机,image.png,https://community.zimaspace.com/t/server-shutdown-from-mobile-app/8251,"@田依可
@陈恒","S 信号, R 需求",,,,,0,2026/03/19,,
通知中心，备份/磁盘发生异常情况，及时警告用户。,"image.png,image.png,image.png",https://community.zimaspace.com/t/feature-requests-notifications-push-email-telegrambot-discord/5637/3,@田依可@Leo Chen,"S 信号, R 需求",,,,,0,2026/03/19,,
搜索可以搜索外部磁盘，例如USB,image.png,http://邮件,@田依可@Leo Chen,"S 信号, R 需求",,,,,0,2026/03/19,,
"用户希望 ZimaOS 除了 Docker 和 ZVM/ 之外，能为高级用户提供一个更轻量的中间层方案，比如支持通过 CLI 使用 Incus/LXC。

Incus/LXC 是一种比完整虚拟机更轻量、比 Docker 更接近完整系统环境的系统级容器方案。",image.png,https://community.zimaspace.com/t/could-we-get-support-for-a-full-container-format-of-some-sort-in-zimaos/8264,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/20,,
希望 ZimaOS 的 UPS 功能支持网络联动 / NUT 集成,image.png,http://邮件,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/20,,
"希望 ZimaOS 提供 LUN 和 iSCSI 的图形化管理能力，让用户可以不用 CLI，就能完成创建、映射、权限管理和状态监控。

这个需求主要面向 SMB/企业客户的虚拟化、存储扩容、备份灾备 等场景。","image.png,image.png",http://私信https://community.zimaspace.com/t/managment-lun-and-iscsi-gui/8248,@Leo Chen@田依可,"S 信号, R 需求",,,,,0,2026/03/20,,
"仅内测ZC2机器，share via link仍在启用，用户发现有通信行为。

大货无影响","img_v3_02103_996598cd-6c8c-4f32-bc39-029ff304a2eg.jpg,image.png",https://discord.com/channels/884667213326463016/1477866834802774137/1485671279607676988,@Rally,已解决,,,,,0,2026/03/25,,
"ZC2 标准版第七盘UI不显示，但可正常使用

Cain哥已修复",image.png,http://私信,@Cain,已解决,,,,,0,2026/03/27,,
GPU直通,"image.png,image.png",https://community.zimaspace.com/t/vm-gpu-passthrough-for-ai-and-hardware-acceleration/8281,@Jerry Liu,"S 信号, R 需求",,,,,0,2026/03/25,,
小组件和btop信息不一致,image.png,https://discord.com/channels/884667213326463016/1477866834802774137/1486530380239470732,@Leo Chen,"待修复, 优化",,,,,0,2026/03/25,,
"用户希望不要强制将 Zima-HD 添加到 Finder ，而是改为默认选中但允许用户取消选择。


",image.png,http://私信,,优化,,,,,0,2026/03/26,,
驱动支持 RTL8821CE M.2,image.png,https://community.zimaspace.com/t/support-for-realtek-rtl8821ce/6062,@Jerry Liu,R 需求,,,,,0,2026/03/25,,
ZimaOS 与 Scrutiny 的硬盘健康判断不一致，ZimaOS 显示 Healthy，但 Scrutiny 已报盘有风险，加强smart判断逻辑,"image.png,image.png",https://community.zimaspace.com/t/zima-thinks-drive-healthy-scrutiny-says-its-failed/8274,@Leo Chen,优化,,,,,0,2026/03/25,,
希望 Zima 桌面端优化启动逻辑，支持仅在菜单栏 / 系统托盘后台运行，而不是启动时自动弹出主窗口。,image.png,https://discord.com/channels/884667213326463016/1251135390203777124/1486670620488892476,@Leo Chen,优化,,,,,0,2026/03/26,,
160 alpha1，三方设备dc变化，导致Plus丢失,image.png,http://私信,@Rally,已解决,,,,,0,2026/03/27,,
160 beta： 新的 USB 管理功能检测设备后需手动进入存储界面点击“+”才能启用，用户普遍不知道,image.png,https://discord.com/channels/884667213326463016/1166619138521829396/1487095661819072643,@Leo Chen,优化,,,,,0,2026/03/27,,
